source_name_abbr,CHEMICAL,reported_chemical_name,reported_casrn,X,substanceid,withoutparenthetical,parenthetical
usgs,1,Isoepichlorotetracycline,,NA,NA,Isoepichlorotetracycline,
usgs,1,Virginiamycin,,NA,NA,Virginiamycin,
usgs,,Water content of snow,,NA,NA,Water content of snow,
usgs,,"Temperature, water, deg F",,NA,NA,"Temperature, water, deg F",
usgs,1,Propetamphos,,NA,NA,Propetamphos,creatinine corrected
usgs,,Dreissena polymorpha,,NA,NA,Dreissena polymorpha,
usgs,,Partial pressure of dissolved gases,,NA,NA,Partial pressure of dissolved gases,p p'p p'p p'
usgs,,Giardia lamblia,,NA,NA,Giardia lamblia,
usgs,1,"Hydrocarbons, C>28-C40",,NA,NA,"Hydrocarbons, C>28-C40",
usgs,1,"Hydrocarbons, C10-28",,NA,NA,"Hydrocarbons, C10-28",
usgs,1,Dichloroprop***retired***use Dichlorprop,,NA,NA,Dichloroprop***retired***use Dichlorprop,
usgs,1,p-Terphenyl,,NA,NA,p-Terphenyl,3-carboxypropylMCPPcreatinine corrected
usgs,1,Pimozide,,NA,NA,Pimozide,creatinine corrected
usgs,1,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",,NA,NA,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",choice list
usgs,1,"1,2,3,5,7,8-Hexachloronaphthalene",,NA,NA,"1,2,3,5,7,8-Hexachloronaphthalene",
usgs,1,"1,5-Dichloronaphthalene",,NA,NA,"1,5-Dichloronaphthalene",
usgs,1,Decamethylcyclopentasiloxane,,NA,NA,Decamethylcyclopentasiloxane,
usgs,1,Dichloronaphthalene,,NA,NA,Dichloronaphthalene,
usgs,1,"Naphthalene, 1,2,3,5,8-pentachloro-",,NA,NA,"Naphthalene, 1,2,3,5,8-pentachloro-",TSP
usgs,1,"Naphthalene, heptachloro-",,NA,NA,"Naphthalene, heptachloro-",TSP
usgs,1,PCB-107/123,,NA,NA,PCB-107/123,
usgs,1,Pentachloronaphthalene,,NA,NA,Pentachloronaphthalene,
usgs,1,Prochloraz,,NA,NA,Prochloraz,creatinine corrected
usgs,1,Heptafluorobutyric acid,,NA,NA,Heptafluorobutyric acid,FDAT
usgs,1,BDE-079,,NA,NA,BDE-079,
usgs,1,Hexabromobenzene,,NA,NA,Hexabromobenzene,
usgs,,Escherichia,,NA,NA,Escherichia,
usgs,,"RBP2, Water Quality, Turbidity (choice list)",,NA,NA,"RBP2, Water Quality, Turbidity ",
usgs,,"Bacteria mix, unspecified",,NA,NA,"Bacteria mix, unspecified",
usgs,1,Pentane,,NA,NA,Pentane,
usgs,1,Acidity,,NA,NA,Acidity,
usgs,1,Carbofuran-D3,,NA,NA,Carbofuran-D3,
usgs,,Floating foam/suds - severity (choice list),,NA,NA,Floating foam/suds - severity ,
usgs,1,1-Phenethyl-4-(phenylpropionylamino)piperidine,,NA,NA,1-Phenethyl-4-piperidine,
usgs,,Allyl-sec-butyl-barbituric acid,,NA,NA,Allyl-sec-butyl-barbituric acid,
usgs,1,Benzphetamine,,NA,NA,Benzphetamine,
usgs,1,Butalbital,,NA,NA,Butalbital,
usgs,1,Cannabidiol,,NA,NA,Cannabidiol,+/-
usgs,1,Cannabinol,,NA,NA,Cannabinol,1Smethylamino.alpha.S
usgs,1,Clenbuterol,,NA,NA,Clenbuterol,
usgs,1,Clonazepam,,NA,NA,Clonazepam,
usgs,1,Clonidine,,NA,NA,Clonidine,
usgs,1,Cocaethylene,,NA,NA,Cocaethylene,
usgs,1,Dimerin,,NA,NA,Dimerin,
usgs,1,Famotidine,,NA,NA,Famotidine,
usgs,1,Fenbendazole,,NA,NA,Fenbendazole,
usgs,1,Flunitrazepam,,NA,NA,Flunitrazepam,choice list
usgs,1,Fluoxetine,,NA,NA,Fluoxetine,
usgs,1,Glipizide,,NA,NA,Glipizide,
usgs,1,Hydrocodone,,NA,NA,Hydrocodone,
usgs,1,Lederfen,,NA,NA,Lederfen,
usgs,1,Levorphanol,,NA,NA,Levorphanol,
usgs,1,m-Hydroxybenzoylecgonine,,NA,NA,m-Hydroxybenzoylecgonine,
usgs,1,MDA,,NA,NA,MDA,
usgs,1,MDEA,,NA,NA,MDEA,
usgs,1,Meperidine,,NA,NA,Meperidine,
usgs,1,Mephobarbital,,NA,NA,Mephobarbital,
usgs,1,Metformin,,NA,NA,Metformin,
usgs,1,Methamphetamine,,NA,NA,Methamphetamine,
usgs,1,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-",,NA,NA,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, -",
usgs,1,Morphine,,NA,NA,Morphine,choice list
usgs,1,"Morpholine, 3-methyl-2-phenyl-",,NA,NA,"Morpholine, 3-methyl-2-phenyl-",1.00mm
usgs,1,Naproxen,,NA,NA,Naproxen,TSP
usgs,1,Omeprazole,,NA,NA,Omeprazole,
usgs,1,Oxidized Nifedipine,,NA,NA,Oxidized Nifedipine,mean
usgs,1,Oxymorphone,,NA,NA,Oxymorphone,MUNIT pmol resorufin/mg-protein/min  substrate: 7-ethoxyresorufin
usgs,1,Phendimetrazine,,NA,NA,Phendimetrazine,creatinine corrected
usgs,1,Phenobarbital,,NA,NA,Phenobarbital,creatinine corrected
usgs,1,"Piperidine, 1-(1-phenylcyclohexyl)-",,NA,NA,"Piperidine, 1--",creatinine corrected
usgs,1,Propranol,,NA,NA,Propranol,MnBPcreatinine corrected
usgs,1,Secbutabarbital,,NA,NA,Secbutabarbital,DEP
usgs,1,Seconal,,NA,NA,Seconal,PFUnDA
usgs,1,Sildenafil,,NA,NA,Sildenafil,
usgs,1,Simvastatin,,NA,NA,Simvastatin,BBP
usgs,1,Sotalol,,NA,NA,Sotalol,
usgs,1,Tetrahydrocannabinol,,NA,NA,Tetrahydrocannabinol,
usgs,1,Thebaine,,NA,NA,Thebaine,PFHxA
usgs,1,Tramadol,,NA,NA,Tramadol,
usgs,1,Trazodone,,NA,NA,Trazodone,
usgs,1,Verapamil,,NA,NA,Verapamil,PCB 158
usgs,1,Acebutolol,,NA,NA,Acebutolol,
usgs,1,Carfentrazone-ethyl,,NA,NA,Carfentrazone-ethyl,
usgs,1,Desmedipham,,NA,NA,Desmedipham,
usgs,1,Mandipropamid,,NA,NA,Mandipropamid,probebluegreen
usgs,1,Mesosulfuron-methyl,,NA,NA,Mesosulfuron-methyl,
usgs,1,Tebufenozide,,NA,NA,Tebufenozide,carboxynonylMCNP
usgs,1,Flubendiamide,,NA,NA,Flubendiamide,
usgs,1,Cyclanilide,,NA,NA,Cyclanilide,
usgs,1,Flazasulfuron,,NA,NA,Flazasulfuron,
usgs,1,"1,1-Dichloropropanone",,NA,NA,"1,1-Dichloropropanone",
usgs,,Macroinvertebrates,,NA,NA,Macroinvertebrates,
usgs,1,"1,1'-Oxybis[3-chloropropane]",,NA,NA,"1,1'-Oxybis[3-chloropropane]",
usgs,1,Bis(chloromethyl) ether,,NA,NA,Bis ether,
usgs,1,Nitrogenous biochemical oxygen demand,,NA,NA,Nitrogenous biochemical oxygen demand,TSP
usgs,1,"1,4-Dichloro-2-butene",,NA,NA,"1,4-Dichloro-2-butene",
usgs,1,m-Cymene,,NA,NA,m-Cymene,
usgs,,"Gross alpha radioactivity, (Americium-241 ref std)",,NA,NA,"Gross alpha radioactivity, ",>=20 to 63 um
usgs,,"Gross beta radioactivity, (Strontium-Yttrium-90 ref std)",,NA,NA,"Gross beta radioactivity, ",>=2 to 6.3 um
usgs,1,Cylindrospermopsin,,NA,NA,Cylindrospermopsin,
usgs,1,Saxitoxin,,NA,NA,Saxitoxin,1-methylethylidene
usgs,1,Nitrogen Delta 15,,NA,NA,Nitrogen Delta 15,TSP
usgs,1,2-Bromo-1-chloropropane,,NA,NA,2-Bromo-1-chloropropane,choice list
usgs,1,Fluorobenzene,,NA,NA,Fluorobenzene,
usgs,1,Profenofos,,NA,NA,Profenofos,creatinine corrected
usgs,1,Dichloran,,NA,NA,Dichloran,
usgs,1,Perfluoromyristic acid,,NA,NA,Perfluoromyristic acid,
usgs,1,Perfluorotridecanoic acid,,NA,NA,Perfluorotridecanoic acid,
usgs,,1-Tailed Critical (H),,NA,NA,1-Tailed Critical ,
usgs,,1-Tailed Critical (W),,NA,NA,1-Tailed Critical ,
usgs,,Rank Sum,,NA,NA,Rank Sum,Glu-P-1creatinine corrected
usgs,1,t-Stat,,NA,NA,t-Stat,PCB 151
usgs,1,"1,3-Dichlorobenzene",,NA,NA,"1,3-Dichlorobenzene",
usgs,,"Hardness, magnesium",,NA,NA,"Hardness, magnesium",
usgs,1,Nitrogen dioxide,,NA,NA,Nitrogen dioxide,TSP
usgs,,RBP Substrate - Boulders >256 mm,,NA,NA,RBP Substrate - Boulders >256 mm,Harmancreatinine corrected
usgs,,Chlorophyll a - Periphyton (attached),,NA,NA,Chlorophyll a - Periphyton ,
usgs,,Optical brighteners fluorescent whitening agents by fluorescence,,NA,NA,Optical brighteners fluorescent whitening agents by fluorescence,
usgs,1,PCB-41/64/71,,NA,NA,PCB-41/64/71,
usgs,,"Sediment, inorganic, classification (choice list)",,NA,NA,"Sediment, inorganic, classification ",
usgs,1,"2,6-Dichlorobenzamide",,NA,NA,"2,6-Dichlorobenzamide",
usgs,1,Norgestrel,,NA,NA,Norgestrel,
usgs,1,Sulfaquinoxaline,,NA,NA,Sulfaquinoxaline,
usgs,1,2-Hydroxy-4-methoxybenzophenone,,NA,NA,2-Hydroxy-4-methoxybenzophenone,
usgs,1,Diclofenac,,NA,NA,Diclofenac,
usgs,1,Methadone,,NA,NA,Methadone,NPOC
usgs,1,Pentoxifylline,,NA,NA,Pentoxifylline,
usgs,,Storm water flow,,NA,NA,Storm water flow,
usgs,1,Rhenium,,NA,NA,Rhenium,
usgs,1,Inorganic antimony(III),,NA,NA,Inorganic antimony,
usgs,1,Actinomycetes,,NA,NA,Actinomycetes,
usgs,,"BOD, filtered, 5 day, 20 deg C",,NA,NA,"BOD, filtered, 5 day, 20 deg C",
usgs,1,Cylindrospermopsins,,NA,NA,Cylindrospermopsins,
usgs,1,Saxitoxins,,NA,NA,Saxitoxins,
usgs,,Precipitation event duration,,NA,NA,Precipitation event duration,creatinine corrected
usgs,1,Plutonium-241,,NA,NA,Plutonium-241,creatinine corrected
usgs,1,Strontium Radionuclides,,NA,NA,Strontium Radionuclides,
usgs,1,Helium,,NA,NA,Helium,
usgs,1,Hydrogen,,NA,NA,Hydrogen,
usgs,1,"2,2'-[1,2 ethanediylbis(oxy)]bis-ethanol diacetate",,NA,NA,"2,2'-[1,2 ethanediylbis]bis-ethanol diacetate",
usgs,1,Diallate,,NA,NA,Diallate,
usgs,,Cryptosporidium parvum,,NA,NA,Cryptosporidium parvum,
usgs,,Campylobacter jejuni,,NA,NA,Campylobacter jejuni,
usgs,,Enterococci,,NA,NA,Enterococci,
usgs,1,Salmonella,,NA,NA,Salmonella,
usgs,1,"1,3-Propanediol",,NA,NA,"1,3-Propanediol",
usgs,1,Acetate,,NA,NA,Acetate,
usgs,1,Ethylene glycol,,NA,NA,Ethylene glycol,
usgs,1,Formate,,NA,NA,Formate,
usgs,1,Propylene glycol,,NA,NA,Propylene glycol,MHiBPcreatinine corrected
usgs,1,"1,2,3-Benzotriazole",,NA,NA,"1,2,3-Benzotriazole",
usgs,1,4-Methyl-1H-benzotriazole,,NA,NA,4-Methyl-1H-benzotriazole,
usgs,1,Hydrolyzable phosphorus,,NA,NA,Hydrolyzable phosphorus,
usgs,1,"2,6-Dichlorophenol",,NA,NA,"2,6-Dichlorophenol",
usgs,1,Musk ketone,,NA,NA,Musk ketone,
usgs,1,Musk Tibetene,,NA,NA,Musk Tibetene,
usgs,1,"Naphthalene, 1,2,3,4,5,6,7-heptachloro-",,NA,NA,"Naphthalene, 1,2,3,4,5,6,7-heptachloro-",TSP
usgs,1,"Naphthalene, 1,2,3,4,5,6,8-heptachloro-",,NA,NA,"Naphthalene, 1,2,3,4,5,6,8-heptachloro-",TSP
usgs,1,Trichloronaphthalene,,NA,NA,Trichloronaphthalene,
usgs,1,p-Bromophenyl phenyl ether***retired***use BDE-003,,NA,NA,p-Bromophenyl phenyl ether***retired***use BDE-003,a measure of the proportion of total DNA present in the comet tail
usgs,1,"Benzene, 1,2,4-tribromo-5-(3,4-dibromophenoxy)-",,NA,NA,"Benzene, 1,2,4-tribromo-5--",
usgs,1,"2,4-Dichlorophenylacetic acid",,NA,NA,"2,4-Dichlorophenylacetic acid",
usgs,1,"2,4,5-T + Silvex",,NA,NA,"2,4,5-T + Silvex",high level
usgs,1,Picric acid,,NA,NA,Picric acid,creatinine corrected
usgs,1,Diuron Metabolite,,NA,NA,Diuron Metabolite,
usgs,1,".alpha.,.alpha.-Dimethylphenethylamine",,NA,NA,".alpha.,.alpha.-Dimethylphenethylamine",
usgs,1,1-(Aminomethyl)cyclohexaneacetic acid,,NA,NA,1-cyclohexaneacetic acid,
usgs,1,"4(3H)-Quinazolinone, 2-methyl-3-(2-methylphenyl)-",,NA,NA,"4-Quinazolinone, 2-methyl-3--",
usgs,1,Amitriptyline (+/-)-E-10-hydroxylated,,NA,NA,Amitriptyline -E-10-hydroxylated,
usgs,1,Benzoylecgonine,,NA,NA,Benzoylecgonine,
usgs,1,Bezafibrate,,NA,NA,Bezafibrate,
usgs,1,Brombuterol,,NA,NA,Brombuterol,
usgs,1,Bupropion,,NA,NA,Bupropion,
usgs,1,Butylparaben,,NA,NA,Butylparaben,
usgs,1,Clobazam,,NA,NA,Clobazam,
usgs,1,Dextromethorphan,,NA,NA,Dextromethorphan,
usgs,1,Ecgonine Methyl Ester,,NA,NA,Ecgonine Methyl Ester,
usgs,1,"Ethanone, 1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-1H-inden-5-yl)-",,NA,NA,"Ethanone, 1--",
usgs,1,"Ethanone, 1-[6-(1,1-dimethylethyl)-2,3-dihydro-1,1-dimethyl-1H-inden-4-yl]-",,NA,NA,"Ethanone, 1-[6--2,3-dihydro-1,1-dimethyl-1H-inden-4-yl]-",
usgs,1,Hydromorphone,,NA,NA,Hydromorphone,
usgs,1,MDMA,,NA,NA,MDMA,
usgs,1,Nitrazepam,,NA,NA,Nitrazepam,TSP
usgs,1,Norfluoxetine,,NA,NA,Norfluoxetine,
usgs,1,Norverapamil,,NA,NA,Norverapamil,
usgs,1,Pentazocine,,NA,NA,Pentazocine,
usgs,1,Pindolol,,NA,NA,Pindolol,creatinine corrected
usgs,1,Ranitidine,,NA,NA,Ranitidine,IQcreatinine corrected
usgs,1,Sumatriptan,,NA,NA,Sumatriptan,
usgs,,Soil Water,,NA,NA,Soil Water,
usgs,1,Lanthanum-140,,NA,NA,Lanthanum-140,
usgs,1,Zinc-65,,NA,NA,Zinc-65,j
usgs,1,3-Methylnonane,,NA,NA,3-Methylnonane,
usgs,1,Dichloropropane,,NA,NA,Dichloropropane,
usgs,1,Ziram,,NA,NA,Ziram,
usgs,1,Formetanate hydrochloride,,NA,NA,Formetanate hydrochloride,
usgs,1,"2,3,5-Trimethylnaphthalene***retired***use 1,6,7-Trimethylnaphthalene",,NA,NA,"2,3,5-Trimethylnaphthalene***retired***use 1,6,7-Trimethylnaphthalene",
usgs,1,Dibenzothiophene (C1-C3),,NA,NA,Dibenzothiophene ,
usgs,1,BDE-033,,NA,NA,BDE-033,
usgs,1,BZ#081L,,NA,NA,BZ#081L,
usgs,1,BZ#126L,,NA,NA,BZ#126L,
usgs,1,BZ#169L,,NA,NA,BZ#169L,
usgs,1,BZ#077L,,NA,NA,BZ#077L,
usgs,1,"Total Dioxin TEQ, Mammalian",,NA,NA,"Total Dioxin TEQ, Mammalian",metilamino
usgs,1,p-Nonylphenol,,NA,NA,p-Nonylphenol,creatinine corrected
usgs,,Chlorophyll a - Phytoplankton (suspended),,NA,NA,Chlorophyll a - Phytoplankton ,
usgs,,Phaeophyton - Periphyton (attached),,NA,NA,Phaeophyton - Periphyton ,
usgs,1,Oxygen Delta 18,,NA,NA,Oxygen Delta 18,Sum of imposex stage values of all females examinedNumber of females
usgs,1,Propane,,NA,NA,Propane,creatinine corrected
usgs,1,"o,p'-Methoxychlor",,NA,NA,"o,p'-Methoxychlor",
usgs,1,2-Methyl-5-nitroaniline,,NA,NA,2-Methyl-5-nitroaniline,
usgs,1,Thionazin,,NA,NA,Thionazin,
usgs,1,1-Naphthalenamine,,NA,NA,1-Naphthalenamine,
usgs,1,"1,4-Naphthoquinone",,NA,NA,"1,4-Naphthoquinone",
usgs,1,2-Acetylaminofluorene,,NA,NA,2-Acetylaminofluorene,
usgs,1,"3,3'-Dimethylbenzidine",,NA,NA,"3,3'-Dimethylbenzidine",
usgs,1,4-Aminobiphenyl,,NA,NA,4-Aminobiphenyl,
usgs,1,Ethyl methanesulfonate,,NA,NA,Ethyl methanesulfonate,
usgs,1,Hexachloropropene,,NA,NA,Hexachloropropene,
usgs,1,Isosafrole,,NA,NA,Isosafrole,
usgs,1,Methapyrilene,,NA,NA,Methapyrilene,
usgs,1,Methyl methanesulfonate,,NA,NA,Methyl methanesulfonate,
usgs,1,N-Nitrosodi-n-butylamine,,NA,NA,N-Nitrosodi-n-butylamine,TSP
usgs,1,N-Nitrosodiethylamine,,NA,NA,N-Nitrosodiethylamine,TSP
usgs,1,N-Nitrosomethylethylamine,,NA,NA,N-Nitrosomethylethylamine,TSP
usgs,1,N-Nitrosopiperidine,,NA,NA,N-Nitrosopiperidine,TSP
usgs,1,N-Nitrosopyrrolidine,,NA,NA,N-Nitrosopyrrolidine,TSP
usgs,1,o-Toluidine,,NA,NA,o-Toluidine,mean or individualin combination with matrx
usgs,1,"O,O,O-Triethyl phosphorothioate",,NA,NA,"O,O,O-Triethyl phosphorothioate",
usgs,1,Phenacetin,,NA,NA,Phenacetin,
usgs,1,Safrole,,NA,NA,Safrole,
usgs,1,Diethylene glycol,,NA,NA,Diethylene glycol,
usgs,1,p-Phenylenediamine,,NA,NA,p-Phenylenediamine,DETPcreatinine corrected
usgs,1,Total nonfecal coliform,,NA,NA,Total nonfecal coliform,
usgs,1,Chloramben,,NA,NA,Chloramben,
usgs,1,Antimony-125,,NA,NA,Antimony-125,
usgs,1,Cesium-134,,NA,NA,Cesium-134,
usgs,1,Europium-152,,NA,NA,Europium-152,2-propenyl
usgs,1,Europium-154,,NA,NA,Europium-154,
usgs,1,Europium-155,,NA,NA,Europium-155,
usgs,1,Plutonium-239 and/or plutonium-240,,NA,NA,Plutonium-239 and/or plutonium-240,creatinine corrected
usgs,1,Protactinium-233,,NA,NA,Protactinium-233,2-ethyl-5-oxohexylMEOHPcreatinine corrected
usgs,1,Uranium-236,,NA,NA,Uranium-236,PeCDF
usgs,,"Algae, all groups, density",,NA,NA,"Algae, all groups, density",
usgs,1,"1,3-Butadiene",,NA,NA,"1,3-Butadiene",
usgs,1,Ethanol,,NA,NA,Ethanol,
usgs,1,Dimethylphenanthrene,,NA,NA,Dimethylphenanthrene,
usgs,,"RBP2, Substrate, organic, muck-mud, black-fine (FPOM)",,NA,NA,"RBP2, Substrate, organic, muck-mud, black-fine ",MEHP
usgs,1,Barite,,NA,NA,Barite,
usgs,1,Iodine-129,,NA,NA,Iodine-129,
usgs,1,Inorganic phosphorus,,NA,NA,Inorganic phosphorus,
usgs,1,Germanium,,NA,NA,Germanium,
usgs,1,Iodine,,NA,NA,Iodine,
usgs,1,Palladium,,NA,NA,Palladium,egg shellshell
usgs,1,Osmium,,NA,NA,Osmium,
usgs,1,Platinum,,NA,NA,Platinum,creatinine corrected
usgs,1,Ruthenium,,NA,NA,Ruthenium,
usgs,1,Selenate,,NA,NA,Selenate,
usgs,1,Selenite,,NA,NA,Selenite,
usgs,1,"1,2,4,5,6,8/1,2,4,5,7,8-Hexachloronaphthalene",,NA,NA,"1,2,4,5,6,8/1,2,4,5,7,8-Hexachloronaphthalene",
usgs,1,Hexabromocyclododecane,,NA,NA,Hexabromocyclododecane,
usgs,1,Atenolol,,NA,NA,Atenolol,
usgs,1,Glyburide,,NA,NA,Glyburide,
usgs,1,Loratadine,,NA,NA,Loratadine,
usgs,1,N-Phenyl-N-(4-piperidinyl)propanamide,,NA,NA,N-Phenyl-N-propanamide,
usgs,1,"Fuel, Diesel Range (C10-C32)",,NA,NA,"Fuel, Diesel Range ",
usgs,1,"Hydrocarbons, volatile",,NA,NA,"Hydrocarbons, volatile",
usgs,,Algal growth potential,,NA,NA,Algal growth potential,
usgs,1,"1,2,3,4-Tetrachlorobenzene",,NA,NA,"1,2,3,4-Tetrachlorobenzene",
usgs,1,Microcystin LA,,NA,NA,Microcystin LA,
usgs,,Water Column Habitat Type (%),,NA,NA,Water Column Habitat Type ,
usgs,,"Substrate - sand, very coarse",,NA,NA,"Substrate - sand, very coarse",
usgs,,"Substrate - sand, very fine",,NA,NA,"Substrate - sand, very fine",
usgs,,Substrate - silt,,NA,NA,Substrate - silt,
usgs,1,"Depth, below bottom surface",,NA,NA,"Depth, below bottom surface",
usgs,1,O-Ethyl O-methyl S-propyl phosphorothioate,,NA,NA,O-Ethyl O-methyl S-propyl phosphorothioate,
usgs,1,2-Methylbutane,,NA,NA,2-Methylbutane,
usgs,1,Butane,,NA,NA,Butane,
usgs,1,Isobutane,,NA,NA,Isobutane,
usgs,1,Clostridium perfringens,,NA,NA,Clostridium perfringens,
usgs,1,"2,6-Diamino-4-nitrotoluene",,NA,NA,"2,6-Diamino-4-nitrotoluene",2-Ethyl-6-methylphenyl
usgs,1,"3,5-Dinitroaniline",,NA,NA,"3,5-Dinitroaniline",
usgs,,Biologically reactive iron,,NA,NA,Biologically reactive iron,
usgs,1,Hexachlorophene,,NA,NA,Hexachlorophene,
usgs,1,Perfluoroundecanoic acid,,NA,NA,Perfluoroundecanoic acid,
usgs,1,(+/-)11-nor-9-carboxy-delta-THC,,NA,NA,11-nor-9-carboxy-delta-THC,
usgs,1,"Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-",,NA,NA,"Benzenemethanol, .alpha.-[-1-ethyl]-, -",
usgs,1,Flurazepam,,NA,NA,Flurazepam,
usgs,,Maximum total trihalomethane potential,,NA,NA,Maximum total trihalomethane potential,
usgs,1,Tetrachloroethane,,NA,NA,Tetrachloroethane,MOP
usgs,,Silica gel treated n-hexane extractable material,,NA,NA,Silica gel treated n-hexane extractable material,DEDTP
usgs,1,Fluvalinate,,NA,NA,Fluvalinate,
usgs,1,Terphenyl,,NA,NA,Terphenyl,
usgs,1,p-Chlorobenzotrifluoride,,NA,NA,p-Chlorobenzotrifluoride,gravel
usgs,1,tert-Butyl acetate,,NA,NA,tert-Butyl acetate,MINP
usgs,,Submerged Vegetation Habitat Type (%),,NA,NA,Submerged Vegetation Habitat Type ,
usgs,1,Prednisone,,NA,NA,Prednisone,creatinine corrected
usgs,1,trans-Diethylstilbestrol,,NA,NA,trans-Diethylstilbestrol,
usgs,1,16-Epiestriol-d2,,NA,NA,16-Epiestriol-d2,
usgs,1,"17.beta.-Estradiol-13,14,15,16,17,18-13C6",,NA,NA,"17.beta.-Estradiol-13,14,15,16,17,18-13C6",
usgs,1,Bisphenol A-d16,,NA,NA,Bisphenol A-d16,C1-C3
usgs,1,Cholesterol-d7,,NA,NA,Cholesterol-d7,
usgs,1,"Estriol-2,4,16,17-d4",,NA,NA,"Estriol-2,4,16,17-d4",
usgs,1,"Estrone-13,14,15,16,17,18-13C6",,NA,NA,"Estrone-13,14,15,16,17,18-13C6",choice list
usgs,1,Ethynylestradiol-d4,,NA,NA,Ethynylestradiol-d4,
usgs,1,Medroxyprogesterone-d3,,NA,NA,Medroxyprogesterone-d3,
usgs,1,"Mestranol-2,4,16,16-d4",,NA,NA,"Mestranol-2,4,16,16-d4",
usgs,1,Nandrolone-d3,,NA,NA,Nandrolone-d3,TSP
usgs,1,"trans-Diethyl-1,1,1',1'-d4-stilbestrol-3,3',5,5'-d4",,NA,NA,"trans-Diethyl-1,1,1',1'-d4-stilbestrol-3,3',5,5'-d4",
usgs,1,Argon-40,,NA,NA,Argon-40,
usgs,1,Krypton-84,,NA,NA,Krypton-84,
usgs,1,Neon-20,,NA,NA,Neon-20,TSP
usgs,1,Xenon-129,,NA,NA,Xenon-129,
usgs,1,"Radium isotopes, alpha emitting",,NA,NA,"Radium isotopes, alpha emitting",Trp-P-1creatinine corrected
usgs,,Substrate - sand,,NA,NA,Substrate - sand,
usgs,1,"m,p-Cresol",,NA,NA,"m,p-Cresol",
usgs,1,Medroxyprogesterone,,NA,NA,Medroxyprogesterone,
usgs,1,2-Nitropropane,,NA,NA,2-Nitropropane,
usgs,1,"1-(3,4-dichlorophenyl)-3-methyl urea",,NA,NA,1--3-methyl urea,
usgs,1,"3,4-Dichlorophenylurea",,NA,NA,"3,4-Dichlorophenylurea",
usgs,1,Prothioconazole,,NA,NA,Prothioconazole,MiNPcreatinine corrected
usgs,1,Dicyclopentadiene,,NA,NA,Dicyclopentadiene,
usgs,1,Cesium-136,,NA,NA,Cesium-136,
usgs,,RBP Substrate - Bedrock,,NA,NA,RBP Substrate - Bedrock,Glu-P-2creatinine corrected
usgs,,"RBP2, Habitat type, bedrock (%)",,NA,NA,"RBP2, Habitat type, bedrock ",3-hydroxypropylcreatinine corrected
usgs,,Cryptosporidium,,NA,NA,Cryptosporidium,
usgs,,Giardia,,NA,NA,Giardia,
usgs,1,Chlorfenvinphos,,NA,NA,Chlorfenvinphos,
usgs,1,Folpet,,NA,NA,Folpet,
usgs,1,Tetrapropyl dithiopyrophosphate,,NA,NA,Tetrapropyl dithiopyrophosphate,
usgs,1,Aroclor 1242 mixt. with Aroclor 1254 and Aroclor 1260,,NA,NA,Aroclor 1242 mixt. with Aroclor 1254 and Aroclor 1260,
usgs,,"RBP2, Substrate, organic, marl, grey shell fragments",,NA,NA,"RBP2, Substrate, organic, marl, grey shell fragments",3-carboxypropylMCPP
usgs,1,2-Ethyl-2-phenylmalonamide,,NA,NA,2-Ethyl-2-phenylmalonamide,
usgs,1,"4-Chloro-3,5-dimethylphenol",,NA,NA,"4-Chloro-3,5-dimethylphenol",
usgs,1,"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",,NA,NA,"Acetamide, 2--N--",
usgs,1,Antipyrine,,NA,NA,Antipyrine,
usgs,1,Carisoprodol,,NA,NA,Carisoprodol,
usgs,1,Celecoxib,,NA,NA,Celecoxib,
usgs,1,Chirald,,NA,NA,Chirald,
usgs,1,Chlorpheniramine,,NA,NA,Chlorpheniramine,
usgs,1,cis-(-)-2-[(Dimethylamino)methyl]-1[3-methoxyphenyl]-cyclohexanol,,NA,NA,cis--2-[methyl]-1[3-methoxyphenyl]-cyclohexanol,
usgs,1,Citalopram,,NA,NA,Citalopram,
usgs,1,Efavirenz,,NA,NA,Efavirenz,
usgs,1,Fluconazole,,NA,NA,Fluconazole,
usgs,1,Griseofulvin,,NA,NA,Griseofulvin,>=630 to 2000 um
usgs,1,Iminostilbene,,NA,NA,Iminostilbene,
usgs,1,Metaxalone,,NA,NA,Metaxalone,
usgs,1,Norpropoxyphene,,NA,NA,Norpropoxyphene,
usgs,1,Pentobarbital,,NA,NA,Pentobarbital,
usgs,1,Primidone,,NA,NA,Primidone,IIIcreatinine corrected
usgs,1,Propofol,,NA,NA,Propofol,MHBPcreatinine corrected
usgs,1,Ticlopidine,,NA,NA,Ticlopidine,
usgs,1,Dihydrocodeine,,NA,NA,Dihydrocodeine,
usgs,1,Oxcarbazepine,,NA,NA,Oxcarbazepine,
usgs,1,Methocarbamol,,NA,NA,Methocarbamol,
usgs,1,Strontium-87,,NA,NA,Strontium-87,
