,DSSTox_Source_Record_Id,external_id,reported_chemical_name,reported_casrn,DSSTox_Substance_Id,Substance_Name,Substance_CASRN,Substance_Type,Structure_InChIKey,Structure_Formula
2660,DTXRID6016339439,epa_dmr-185,Acenaphthylene,NA,DTXSID3023845,Acenaphthylene,208-96-8,Single Compound,HXGDTGSAIMULJN-UHFFFAOYSA-N,C12H8
2661,DTXRID1016339440,epa_dmr-186,Acetaldehyde,NA,DTXSID5039224,Acetaldehyde,75-07-0,Single Compound,IKHGUXGNUITLKF-UHFFFAOYSA-N,C2H4O
2662,DTXRID9016339441,epa_dmr-187,Acetaminophen,NA,DTXSID2020006,Acetaminophen,103-90-2,Single Compound,RZVAJINKPMORJF-UHFFFAOYSA-N,C8H9NO2
2663,DTXRID7016339442,epa_dmr-188,"Acetate, Total",NA,DTXSID1037694,Acetate,71-50-1,Single Compound,QTBSBXVTEAMEQO-UHFFFAOYSA-M,C2H3O2
2664,DTXRID5016339443,epa_dmr-189,Acetic acid,NA,DTXSID5024394,Acetic acid,64-19-7,Single Compound,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C2H4O2
2665,DTXRID3016339444,epa_dmr-190,Acetochlor,NA,DTXSID8023848,Acetochlor,34256-82-1,Single Compound,VTNQPKFIQCLBDU-UHFFFAOYSA-N,C14H20ClNO2
2666,DTXRID1016339445,epa_dmr-191,Acetone,NA,DTXSID8021482,Acetone,67-64-1,Single Compound,CSCPPACGZOOCGX-UHFFFAOYSA-N,C3H6O
2667,DTXRID9016339446,epa_dmr-192,"Acetone, dry weight",NA,DTXSID8021482,Acetone,67-64-1,Single Compound,CSCPPACGZOOCGX-UHFFFAOYSA-N,C3H6O
2668,DTXRID7016339447,epa_dmr-193,Acetonitrile,NA,DTXSID7020009,Acetonitrile,75-05-8,Single Compound,WEVYAHXRMPXWCK-UHFFFAOYSA-N,C2H3N
2669,DTXRID5016339448,epa_dmr-194,Acetontrile,NA,DTXSID7020009,Acetonitrile,75-05-8,Single Compound,WEVYAHXRMPXWCK-UHFFFAOYSA-N,C2H3N
2670,DTXRID3016339449,epa_dmr-195,Acetophenone,NA,DTXSID6021828,Acetophenone,98-86-2,Single Compound,KWOLFJPFCHCOCG-UHFFFAOYSA-N,C8H8O
2671,DTXRID8016339450,epa_dmr-196,Acrolein,NA,DTXSID5020023,Acrolein,107-02-8,Single Compound,HGINCPLSRVDWNT-UHFFFAOYSA-N,C3H4O
2672,DTXRID6016339451,epa_dmr-197,Acrylamide monomer,NA,DTXSID5020027,Acrylamide,79-06-1,Single Compound,HRPVXLWXLXDGHG-UHFFFAOYSA-N,C3H5NO
2673,DTXRID4016339452,epa_dmr-198,Acrylic acid,NA,DTXSID0039229,Acrylic acid,79-10-7,Single Compound,NIXOWILDQLNWCW-UHFFFAOYSA-N,C3H4O2
2674,DTXRID2016339453,epa_dmr-199,Acrylonitrile,NA,DTXSID5020029,Acrylonitrile,107-13-1,Single Compound,NLHHRLWOUZZQLW-UHFFFAOYSA-N,C3H3N
2675,DTXRID0016339454,epa_dmr-200,Adsorbable organic halides (AOX),NA,NA,NA,NA,NA,NA,NA
2676,DTXRID8016339455,epa_dmr-201,Alachlor,NA,DTXSID1022265,Alachlor,15972-60-8,Single Compound,XCSGPAVHZFQHGE-UHFFFAOYSA-N,C14H20ClNO2
2677,DTXRID6016339456,epa_dmr-202,Aldicarb,NA,DTXSID0039223,Aldicarb,116-06-3,Single Compound,QGLZXHRNAYXIBU-UHFFFAOYSA-N,C7H14N2O2S
2678,DTXRID4016339457,epa_dmr-203,Aldicarb sulfone,NA,DTXSID6023862,Aldoxycarb,1646-88-4,Single Compound,YRRKLBAKDXSTNC-WEVVVXLNSA-N,C7H14N2O4S
2679,DTXRID2016339458,epa_dmr-204,Aldicarb sulfoxide,NA,DTXSID1033161,Aldicarb sulfoxide,1646-87-3,Mixture of Stereoisomers,BXPMAGSOWXBZHS-UHFFFAOYNA-N,C7H14N2O3S
2680,DTXRID0016339459,epa_dmr-205,Aldrin,NA,DTXSID8020040,Aldrin,309-00-2,Single Compound,QBYJBZPUGVGKQQ-SJJAEHHWNA-N,C12H8Cl6
2681,DTXRID5016339460,epa_dmr-206,Aldrin + Dieldrin,NA,NA,NA,NA,NA,NA,NA
2682,DTXRID3016339461,epa_dmr-207,"Algicides, general",NA,NA,NA,NA,NA,NA,NA
2683,DTXRID1016339462,epa_dmr-208,"Alkyl bensene sulfonates, linear (LAS)",NA,DTXSID3020041,"Alkylbenzenesulfonate, linear",42615-29-2,Mixture/Formulation,NA,NA
2684,DTXRID9016339463,epa_dmr-209,Aluminum,NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2685,DTXRID7016339464,epa_dmr-210,"Aluminum chloride, dissolved, water",NA,DTXSID6029674,Aluminum chloride,7446-70-0,Single Compound,VSCWAEJMTAWNJL-UHFFFAOYSA-K,AlCl3
2686,DTXRID5016339465,epa_dmr-211,"Aluminum, acid soluble",NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2687,DTXRID3016339466,epa_dmr-212,"Aluminum, dissolved (as Al)",NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2688,DTXRID1016339467,epa_dmr-213,"Aluminum, ion",NA,DTXSID70912343,Aluminum ion,22537-23-1,Single Compound,REDXJYDRNCIFBQ-UHFFFAOYSA-N,Al
2689,DTXRID9016339468,epa_dmr-214,"Aluminum, potentially dissolvd",NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2690,DTXRID7016339469,epa_dmr-215,"Aluminum, total (as Al)",NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2691,DTXRID2016339470,epa_dmr-216,"Aluminum, total recoverable",NA,DTXSID3040273,Aluminum,7429-90-5,Single Compound,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al
2692,DTXRID0016339471,epa_dmr-217,Americium-241,NA,DTXSID70891780,Americium 241,14596-10-2,Single Compound,LXQXZNRPTYVCNG-YPZZEJLDSA-N,[241Am]
2693,DTXRID8016339472,epa_dmr-218,Ametryn,NA,DTXSID1023869,Ametryn,834-12-8,Single Compound,RQVYBGPQFYCBGX-UHFFFAOYSA-N,C9H17N5S
2694,DTXRID6016339473,epa_dmr-219,"Amines, organic total",NA,NA,NA,NA,NA,NA,NA
2695,DTXRID4016339474,epa_dmr-220,Aminocarb,NA,DTXSID7022172,Aminocarb,2032-59-9,Single Compound,IMIDOCRTMDIQIJ-UHFFFAOYSA-N,C11H16N2O2
2696,DTXRID2016339475,epa_dmr-221,Ammonia & ammonium- total,NA,NA,NA,NA,NA,NA,NA
2697,DTXRID0016339476,epa_dmr-222,Ammonia (as N) + unionized ammonia,NA,DTXSID0023872,Ammonia,7664-41-7,Single Compound,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N
2698,DTXRID8016339477,epa_dmr-223,"Ammonia nitrogen, total, (as N) 30 day",NA,DTXSID0023872,Ammonia,7664-41-7,Single Compound,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N
2699,DTXRID6016339478,epa_dmr-224,"Ammonia, unionized",NA,DTXSID0023872,Ammonia,7664-41-7,Single Compound,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N
2700,DTXRID4016339479,epa_dmr-225,Ammonium perfluoroctanoate,NA,DTXSID8037708,Ammonium perfluorooctanoate,3825-26-1,Single Compound,YOALFLHFSFEMLP-UHFFFAOYSA-N,C8H4F15NO2
2701,DTXRID9016339480,epa_dmr-226,Ammonium picrate,NA,DTXSID50872815,Ammonium picrate,131-74-8,Single Compound,PADMMUFPGNGRGI-UHFFFAOYSA-N,C6H6N4O7
2702,DTXRID7016339481,epa_dmr-227,Amoxicillin,NA,DTXSID3037044,Amoxicillin,26787-78-0,Single Compound,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,C16H19N3O5S
2703,DTXRID5016339482,epa_dmr-228,Ampicillin,NA,DTXSID4022602,Ampicillin,69-53-4,Single Compound,AVKUERGKIZMTKX-NJBDSQKTSA-N,C16H19N3O4S
2704,DTXRID3016339483,epa_dmr-229,"Amyl acetate, total",NA,DTXSID1027263,Pentyl acetate,628-63-7,Single Compound,PGMYKACGEOXYJE-UHFFFAOYSA-N,C7H14O2
2705,DTXRID1016339484,epa_dmr-230,Amyl alcohol,NA,DTXSID6021741,1-Pentanol,71-41-0,Single Compound,AMQJEAYHLZJPGS-UHFFFAOYSA-N,C5H12O
2706,DTXRID9016339485,epa_dmr-231,Aniline,NA,DTXSID8020090,Aniline,62-53-3,Single Compound,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,C6H7N
2707,DTXRID7016339486,epa_dmr-232,Annual Nitrate Nitrogen Discharged,NA,DTXSID5024217,Nitrate,14797-55-8,Single Compound,NHNBFGGVMKEFGY-UHFFFAOYSA-N,NO3
2708,DTXRID5016339487,epa_dmr-233,Anthracene,NA,DTXSID0023878,Anthracene,120-12-7,Single Compound,MWPLVEDNUUSJAV-UHFFFAOYSA-N,C14H10
2709,DTXRID3016339488,epa_dmr-234,"Antimony, dissolved (as Sb)",NA,DTXSID5023879,Antimony,7440-36-0,Single Compound,WATWJIUSRGPENY-UHFFFAOYSA-N,Sb
2710,DTXRID1016339489,epa_dmr-235,"Antimony, total (as Sb)",NA,DTXSID5023879,Antimony,7440-36-0,Single Compound,WATWJIUSRGPENY-UHFFFAOYSA-N,Sb
2711,DTXRID6016339490,epa_dmr-236,"Antimony, total recoverable",NA,DTXSID5023879,Antimony,7440-36-0,Single Compound,WATWJIUSRGPENY-UHFFFAOYSA-N,Sb
2712,DTXRID4016339491,epa_dmr-237,Arochlor 1268,NA,DTXSID8093944,Aroclor 1268,11100-14-4,Mixture/Formulation,NA,NA
2713,DTXRID2016339492,epa_dmr-238,"Aromatics, total purgeable",NA,NA,NA,NA,NA,NA,NA
2714,DTXRID0016339493,epa_dmr-239,Arsenic,NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2715,DTXRID8016339494,epa_dmr-240,"Arsenic, dissolved (as As)",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2716,DTXRID6016339495,epa_dmr-241,"Arsenic, dry weight",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2717,DTXRID4016339496,epa_dmr-242,"Arsenic, Inorganic",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2718,DTXRID2016339497,epa_dmr-243,"Arsenic, potentially dissolvd",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2719,DTXRID0016339498,epa_dmr-244,"Arsenic, total (as As)",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2720,DTXRID8016339499,epa_dmr-245,"Arsenic, total recoverable",NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
2721,DTXRID9016339500,epa_dmr-246,"Arsenic, trivalent dissolved",NA,DTXSID30872434,Arsenic (III),22541-54-4,Single Compound,LULLIKNODDLMDQ-UHFFFAOYSA-N,As
2722,DTXRID7016339501,epa_dmr-247,"Arsenic, trivalent total",NA,DTXSID30872434,Arsenic (III),22541-54-4,Single Compound,LULLIKNODDLMDQ-UHFFFAOYSA-N,As
2723,DTXRID5016339502,epa_dmr-248,"Arsenic, trivalent, total recoverable",NA,DTXSID30872434,Arsenic (III),22541-54-4,Single Compound,LULLIKNODDLMDQ-UHFFFAOYSA-N,As
2724,DTXRID3016339503,epa_dmr-249,Asana,NA,DTXSID4032667,Esfenvalerate,66230-04-4,Single Compound,NYPJDWWKZLNGGM-RPWUZVMVSA-N,C25H22ClNO3
2725,DTXRID1016339504,epa_dmr-250,"Asbestos, total amphibole",NA,DTXSID70873869,Libby Amphibole Asbestos,1318-09-8,Mineral/Composite,NA,NA
2726,DTXRID9016339505,epa_dmr-251,Aspon,NA,DTXSID6032510,Aspon,3244-90-4,Single Compound,IIDFEIDMIKSJSV-UHFFFAOYSA-N,C12H28O5P2S2
2727,DTXRID7016339506,epa_dmr-252,Atrazine,NA,DTXSID9020112,Atrazine,1912-24-9,Single Compound,MXWJVTOOROXGIU-UHFFFAOYSA-N,C8H14ClN5
2728,DTXRID5016339507,epa_dmr-253,"Atrazine, dissolved",NA,DTXSID9020112,Atrazine,1912-24-9,Single Compound,MXWJVTOOROXGIU-UHFFFAOYSA-N,C8H14ClN5
2729,DTXRID3016339508,epa_dmr-254,Azinphos-ethyl,NA,DTXSID5037498,Azinphos-ethyl,2642-71-9,Single Compound,RQVGAIADHNPSME-UHFFFAOYSA-N,C12H16N3O3PS2
2730,DTXRID1016339509,epa_dmr-255,Azinphos-methyl,NA,DTXSID3020122,Azinphos-methyl,86-50-0,Single Compound,CJJOSEISRRTUQB-UHFFFAOYSA-N,C10H12N3O3PS2
2731,DTXRID6016339510,epa_dmr-256,Azithromycin,NA,DTXSID8030760,Azithromycin,83905-01-5,Single Compound,MQTOSJVFKKJCRP-BICOPXKESA-N,C38H72N2O12
2732,DTXRID4016339511,epa_dmr-257,Azobenzene,NA,DTXSID8020123,Azobenzene,103-33-3,Single Compound,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,C12H10N2
2733,DTXRID2016339512,epa_dmr-258,Barban,NA,DTXSID3041617,Barban,101-27-9,Single Compound,MCOQHIWZJUDQIC-UHFFFAOYSA-N,C11H9Cl2NO2
2734,DTXRID0016339513,epa_dmr-259,"Barium, dissolved (as Ba)",NA,DTXSID8023894,Barium,7440-39-3,Single Compound,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Ba
2735,DTXRID8016339514,epa_dmr-260,"Barium, potentially dissolvd",NA,DTXSID8023894,Barium,7440-39-3,Single Compound,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Ba
2736,DTXRID6016339515,epa_dmr-261,"Barium, total (as Ba)",NA,DTXSID8023894,Barium,7440-39-3,Single Compound,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Ba
2737,DTXRID4016339516,epa_dmr-262,"Barium, total recoverable",NA,DTXSID8023894,Barium,7440-39-3,Single Compound,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Ba
2738,DTXRID2016339517,epa_dmr-263,"Bayer 73, in water",NA,DTXSID3020338,Clonitralid,1420-04-8,Single Compound,XYCDHXSQODHSLG-UHFFFAOYSA-N,C15H15Cl2N3O5
2739,DTXRID0016339518,epa_dmr-264,Benfluralin,NA,DTXSID3023899,Benfluralin,1861-40-1,Single Compound,SMDHCQAYESWHAE-UHFFFAOYSA-N,C13H16F3N3O4
2740,DTXRID8016339519,epa_dmr-265,Benomyl and carbendazim,NA,NA,NA,NA,NA,NA,NA
2741,DTXRID3016339520,epa_dmr-266,"Bentazon, total",NA,DTXSID0023901,Bentazone,25057-89-0,Single Compound,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,C10H12N2O3S
2742,DTXRID1016339521,epa_dmr-267,Benzene,NA,DTXSID3039242,Benzene,71-43-2,Single Compound,UHOVQNZJYSORNB-UHFFFAOYSA-N,C6H6
2743,DTXRID9016339522,epa_dmr-268,Benzene (volatile analysis),NA,DTXSID3039242,Benzene,71-43-2,Single Compound,UHOVQNZJYSORNB-UHFFFAOYSA-N,C6H6
2744,DTXRID7016339523,epa_dmr-269,Benzene hexachloride,NA,DTXSID7020687,"1,2,3,4,5,6-Hexachlorocyclohexane",608-73-1,Mixture of Stereoisomers,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,C6H6Cl6
2745,DTXRID5016339524,epa_dmr-270,"Benzene, dissolved",NA,DTXSID3039242,Benzene,71-43-2,Single Compound,UHOVQNZJYSORNB-UHFFFAOYSA-N,C6H6
2746,DTXRID3016339525,epa_dmr-271,"Benzene, ethylbenzene, toluene, xylene combination",NA,NA,NA,NA,NA,NA,NA
2747,DTXRID1016339526,epa_dmr-272,"Benzene, halogenated",NA,NA,NA,NA,NA,NA,NA
2748,DTXRID9016339527,epa_dmr-273,"Benzene, toluene, xylene in combination",NA,NA,NA,NA,NA,NA,NA
2749,DTXRID7016339528,epa_dmr-274,Benzenehexachloride,NA,DTXSID2020682,Hexachlorobenzene,118-74-1,Single Compound,CKAPSXZOOQJIBF-UHFFFAOYSA-N,C6Cl6
2750,DTXRID5016339529,epa_dmr-275,Benzenesulphonic acid,NA,DTXSID9024568,Benzenesulfonic acid,98-11-3,Single Compound,SRSXLGNVWSONIS-UHFFFAOYSA-N,C6H6O3S
2751,DTXRID0016339530,epa_dmr-276,Benzidine,NA,DTXSID2020137,C.I. Azoic Diazo Component 112,92-87-5,Single Compound,HFACYLZERDEVSX-UHFFFAOYSA-N,C12H12N2
2752,DTXRID8016339531,epa_dmr-277,Benzo(a)anthracene,NA,DTXSID5023902,Benz(a)anthracene,56-55-3,Single Compound,DXBHBZVCASKNBY-UHFFFAOYSA-N,C18H12
2753,DTXRID6016339532,epa_dmr-278,Benzo(a)pyrene,NA,DTXSID90273928,Benzopyrene,73467-76-2,Mixture/Formulation,NA,NA
2754,DTXRID4016339533,epa_dmr-279,Benzo(b)fluoranthene,NA,DTXSID0023907,Benzo(b)fluoranthene,205-99-2,Single Compound,FTOVXSOBNPWTSH-UHFFFAOYSA-N,C20H12
2755,DTXRID2016339534,epa_dmr-280,"Benzo(b,k)fluoranthene",NA,DTXSID501025692,Benzofluoranthene,56832-73-6,Single Compound,NA,NA
2756,DTXRID0016339535,epa_dmr-281,Benzo(ghi)perylene,NA,DTXSID5023908,"Benzo(g,h,i)perylene",191-24-2,Single Compound,GYFAGKUZYNFMBN-UHFFFAOYSA-N,C22H12
2757,DTXRID8016339536,epa_dmr-282,Benzo(k)fluoranthene,NA,DTXSID0023909,Benzo(k)fluoranthene,207-08-9,Single Compound,HAXBIWFMXWRORI-UHFFFAOYSA-N,C20H12
2758,DTXRID6016339537,epa_dmr-283,Benzo[j]fluoranthene,NA,DTXSID8052691,Benzo(j)fluoranthene,205-82-3,Single Compound,KHNYNFUTFKJLDD-UHFFFAOYSA-N,C20H12
2759,DTXRID4016339538,epa_dmr-284,Benzo[rst]pentaphene,NA,DTXSID9059751,"Dibenzo[a,i]pyrene",189-55-9,Single Compound,TUGYIJVAYAHHHM-UHFFFAOYSA-N,C24H14
2760,DTXRID2016339539,epa_dmr-285,"Benzoic acids, total",NA,NA,NA,NA,NA,NA,NA
2761,DTXRID7016339540,epa_dmr-286,Benzothiazole,NA,DTXSID7024586,Benzothiazole,95-16-9,Single Compound,IOJUPLGTWVMSFF-UHFFFAOYSA-N,C7H5NS
2762,DTXRID5016339541,epa_dmr-287,Benzyl alcohol,NA,DTXSID5020152,Benzyl alcohol,100-51-6,Single Compound,WVDDGKGOMKODPV-UHFFFAOYSA-N,C7H8O
2763,DTXRID3016339542,epa_dmr-288,Benzyl chloride,NA,DTXSID0020153,Benzyl chloride,100-44-7,Single Compound,KCXMKQUNVWSEMD-UHFFFAOYSA-N,C7H7Cl
2764,DTXRID1016339543,epa_dmr-289,"Beryllium, dissolved (as Be)",NA,DTXSID4023913,Beryllium,7440-41-7,Single Compound,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,Be
2765,DTXRID9016339544,epa_dmr-290,"Beryllium, potentially dissolvd",NA,DTXSID4023913,Beryllium,7440-41-7,Single Compound,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,Be
2766,DTXRID7016339545,epa_dmr-291,"Beryllium, total (as Be)",NA,DTXSID4023913,Beryllium,7440-41-7,Single Compound,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,Be
2767,DTXRID5016339546,epa_dmr-292,"Beryllium, total recoverable (as Be)",NA,DTXSID4023913,Beryllium,7440-41-7,Single Compound,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,Be
2768,DTXRID3016339547,epa_dmr-293,Betz clam-trol CT-2,NA,DTXSID00108994,Clam-trol CT-2,193700-05-9,Mixture/Formulation,NA,NA
2769,DTXRID1016339548,epa_dmr-294,Betz clam-trol CT-4,NA,NA,NA,NA,NA,NA,NA
2770,DTXRID9016339549,epa_dmr-295,"Betz slimicide C-31, total",NA,NA,NA,NA,NA,NA,NA
2771,DTXRID4016339550,epa_dmr-296,Betzdearborn DG5671,NA,NA,NA,NA,NA,NA,NA
2772,DTXRID2016339551,epa_dmr-297,"BHC, total",NA,DTXSID7020687,"1,2,3,4,5,6-Hexachlorocyclohexane",608-73-1,Mixture of Stereoisomers,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,C6H6Cl6
2773,DTXRID0016339552,epa_dmr-298,Bicarbonate as (CaCO3),NA,DTXSID3036238,Calcium carbonate,471-34-1,Single Compound,VTYYLEPIZMXCLO-UHFFFAOYSA-L,CCaO3
2774,DTXRID8016339553,epa_dmr-299,Bicarbonate ion- (as HCO3),NA,DTXSID2049921,Bicarbonate,71-52-3,Single Compound,BVKZGUZCCUSVTD-UHFFFAOYSA-M,CHO3
2775,DTXRID6016339554,epa_dmr-300,Bifenthrin,NA,DTXSID9020160,Bifenthrin,82657-04-3,Mixture of Stereoisomers,OMFRMAHOUUJSGP-KLUXTTGUNA-N,C23H22ClF3O2
2776,DTXRID4016339555,epa_dmr-301,Biocides,NA,NA,NA,NA,NA,NA,NA
2777,DTXRID2016339556,epa_dmr-302,Bis(2-chloro-1-methylethyl) ether,NA,DTXSID4020167,bis(2-Chloro-1-methylethyl) ether,108-60-1,Mixture of Stereoisomers,QCFYJCYNJLBDRT-UHFFFAOYNA-N,C6H12Cl2O
2778,DTXRID0016339557,epa_dmr-303,Bis(2-chloroethoxy)methane,NA,DTXSID4023917,Bis(2-chloroethoxy)methane,111-91-1,Single Compound,NLXGURFLBLRZRO-UHFFFAOYSA-N,C5H10Cl2O2
2779,DTXRID8016339558,epa_dmr-304,Bis(2-chloroethyl) ether,NA,DTXSID9020168,Bis(2-chloroethyl) ether,111-44-4,Single Compound,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,C4H8Cl2O
2780,DTXRID6016339559,epa_dmr-305,Bis(2-chloroisopropyl) ether,NA,DTXSID7052070,bis(2-Chloroisopropyl)ether,39638-32-9,Single Compound,BULHJTXRZFEUDQ-UHFFFAOYSA-N,C6H12Cl2O
2781,DTXRID1016339560,epa_dmr-306,Bis(2-ethylhexyl) adipate,NA,DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,Mixture of Stereoisomers,SAOKZLXYCUGLFA-UHFFFAOYNA-N,C22H42O4
2782,DTXRID9016339561,epa_dmr-307,Bis(2-ethylhexyl) phthalate,NA,DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,Single Compound,BJQHLKABXJIVAM-UHFFFAOYNA-N,C24H38O4
2783,DTXRID7016339562,epa_dmr-308,"Bis(2-ethylhexyl) phthalate, dry wgt",NA,DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,Single Compound,BJQHLKABXJIVAM-UHFFFAOYNA-N,C24H38O4
2784,DTXRID5016339563,epa_dmr-309,Bis(chloromethyl) ether,NA,DTXSID8020173,bis(Chloromethyl) ether,542-88-1,Single Compound,HRQGCQVOJVTVLU-UHFFFAOYSA-N,C2H4Cl2O
2785,DTXRID3016339564,epa_dmr-310,"Bis(chloromethyl) ether, dry weight",NA,DTXSID8020173,bis(Chloromethyl) ether,542-88-1,Single Compound,HRQGCQVOJVTVLU-UHFFFAOYSA-N,C2H4Cl2O
2786,DTXRID1016339565,epa_dmr-311,"Bismuth, total (as Bi)",NA,DTXSID3052484,Bismuth,7440-69-9,Single Compound,JCXGWMGPZLAOME-UHFFFAOYSA-N,Bi
2787,DTXRID9016339566,epa_dmr-312,Bisphenol-A,NA,DTXSID7020182,Bisphenol A,80-05-7,Single Compound,IISBACLAFKSPIT-UHFFFAOYSA-N,C15H16O2
2788,DTXRID7016339567,epa_dmr-313,Bisphenol-A (.alpha.),NA,DTXSID7020182,Bisphenol A,80-05-7,Single Compound,IISBACLAFKSPIT-UHFFFAOYSA-N,C15H16O2
2789,DTXRID5016339568,epa_dmr-314,Bolero,NA,DTXSID6024337,Thiobencarb,28249-77-6,Single Compound,QHTQREMOGMZHJV-UHFFFAOYSA-N,C12H16ClNOS
2790,DTXRID3016339569,epa_dmr-315,Bolstar,NA,DTXSID8032675,Sulprofos,35400-43-2,Single Compound,JXHJNEJVUNHLKO-UHFFFAOYNA-N,C12H19O2PS3
2791,DTXRID8016339570,epa_dmr-316,Boric acid,NA,DTXSID1020194,Boric acid (H3BO3),10043-35-3,Single Compound,KGBXLFKZBHKPEV-UHFFFAOYSA-N,BH3O3
2792,DTXRID6016339571,epa_dmr-317,"Boron, dissolved (as B)",NA,DTXSID3023922,Boron,7440-42-8,Single Compound,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,B
2793,DTXRID4016339572,epa_dmr-318,"Boron, total",NA,DTXSID3023922,Boron,7440-42-8,Single Compound,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,B
2794,DTXRID2016339573,epa_dmr-319,"Boron, total (as B)",NA,DTXSID3023922,Boron,7440-42-8,Single Compound,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,B
2795,DTXRID0016339574,epa_dmr-320,"Boron, total recoverable",NA,DTXSID3023922,Boron,7440-42-8,Single Compound,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,B
2796,DTXRID8016339575,epa_dmr-321,Bromacil,NA,DTXSID4022020,Bromacil,314-40-9,Single Compound,CTSLUCNDVMMDHG-UHFFFAOYNA-N,C9H13BrN2O2
2797,DTXRID6016339576,epa_dmr-322,"Bromacil, lithium",NA,DTXSID9034284,"5-Bromo-3-sec-butyl-6-methylpyrimidine-2,4(1H,3H)-dione, lithium salt",53404-19-6,Mixture of Stereoisomers,VIMSQXDDXJYTLW-UHFFFAOYNA-M,C9H12BrLiN2O2
2798,DTXRID4016339577,epa_dmr-323,Bromate,NA,DTXSID8023923,Bromate,15541-45-4,Single Compound,SXDBWCPKPHAZSM-UHFFFAOYSA-M,BrO3
2799,DTXRID2016339578,epa_dmr-324,Bromide (as Br),NA,DTXSID6043967,Bromide,24959-67-9,Single Compound,CPELXLSAUQHCOX-UHFFFAOYSA-M,Br
2800,DTXRID0016339579,epa_dmr-325,Bromine chloride,NA,DTXSID4035259,Bromine chloride,13863-41-7,Single Compound,CODNYICXDISAEA-UHFFFAOYSA-N,BrCl
2801,DTXRID5016339580,epa_dmr-326,"Bromine, reported as the element",NA,DTXSID1035238,Bromine,7726-95-6,Single Compound,GDTBXPJZTBHREO-UHFFFAOYSA-N,Br2
2802,DTXRID3016339581,epa_dmr-327,"Bromo benzene, total",NA,DTXSID5024637,Bromobenzene,108-86-1,Single Compound,QARVLSVVCXYDNA-UHFFFAOYSA-N,C6H5Br
2803,DTXRID1016339582,epa_dmr-328,Bromochloromethane,NA,DTXSID4021503,Bromochloromethane,74-97-5,Single Compound,JPOXNPPZZKNXOV-UHFFFAOYSA-N,CH2BrCl
2804,DTXRID9016339583,epa_dmr-329,Bromodichloroethane,NA,DTXSID5060988,"2-Bromo-1,1-dichloroethane",683-53-4,Single Compound,CTPJWJHJNKUPDY-UHFFFAOYSA-N,C2H3BrCl2
